"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"23437","2/1/2007","00:00:00","0.442","0.122","241.060","1.800","0.000","0.000",0
"23438","2/1/2007","00:01:00","0.370","0.000","241.220","1.600","0.000","0.000",0
"23439","2/1/2007","00:02:00","0.368","0.000","241.030","1.600","0.000","0.000",0
"23440","2/1/2007","00:03:00","0.370","0.000","241.410","1.600","0.000","0.000",0
"23441","2/1/2007","00:04:00","0.370","0.000","241.220","1.600","0.000","0.000",0
"23442","2/1/2007","00:05:00","0.368","0.000","241.030","1.600","0.000","0.000",0
"23443","2/1/2007","00:06:00","0.368","0.000","240.470","1.400","0.000","0.000",0
"23444","2/1/2007","00:07:00","0.366","0.000","240.260","1.400","0.000","0.000",0
"23445","2/1/2007","00:08:00","0.372","0.000","241.880","1.600","0.000","0.000",0
"23446","2/1/2007","00:09:00","0.370","0.000","241.210","1.600","0.000","0.000",0
"23447","2/1/2007","00:10:00","0.370","0.000","241.350","1.600","0.000","0.000",0
"23448","2/1/2007","00:11:00","0.372","0.000","241.930","1.600","0.000","0.000",0
"23449","2/1/2007","00:12:00","0.374","0.000","242.470","1.600","0.000","0.000",0
"23450","2/1/2007","00:13:00","0.372","0.000","242.150","1.600","0.000","0.000",0
"23451","2/1/2007","00:14:00","0.372","0.000","241.840","1.600","0.000","0.000",0
"23452","2/1/2007","00:15:00","0.370","0.000","241.600","1.600","0.000","0.000",0
"23453","2/1/2007","00:16:00","0.372","0.000","242.180","1.600","0.000","0.000",0
"23454","2/1/2007","00:17:00","0.372","0.000","242.040","1.600","0.000","0.000",0
"23455","2/1/2007","00:18:00","0.374","0.000","242.420","1.600","0.000","0.000",0
"23456","2/1/2007","00:19:00","0.374","0.000","242.610","1.600","0.000","0.000",0
"23457","2/1/2007","00:20:00","0.372","0.000","241.790","1.600","0.000","0.000",0
"23458","2/1/2007","00:21:00","0.372","0.000","241.690","1.600","0.000","0.000",0
"23459","2/1/2007","00:22:00","0.370","0.000","241.510","1.600","0.000","0.000",0
"23460","2/1/2007","00:23:00","0.372","0.000","241.700","1.600","0.000","0.000",0
"23461","2/1/2007","00:24:00","0.372","0.000","241.910","1.600","0.000","0.000",0
"23462","2/1/2007","00:25:00","0.376","0.000","243.030","1.600","0.000","0.000",0
"23463","2/1/2007","00:26:00","0.378","0.000","244.090","1.600","0.000","0.000",0
"23464","2/1/2007","00:27:00","0.468","0.126","243.460","2.000","0.000","0.000",0
"23465","2/1/2007","00:28:00","0.552","0.234","243.170","2.600","0.000","0.000",0
"23466","2/1/2007","00:29:00","0.556","0.270","243.170","2.400","0.000","0.000",0
"23467","2/1/2007","00:30:00","0.554","0.268","242.950","2.400","0.000","0.000",0
"23468","2/1/2007","00:31:00","0.650","0.394","242.480","3.200","0.000","0.000",0
"23469","2/1/2007","00:32:00","0.630","0.386","241.980","3.000","0.000","1.000",0
"23470","2/1/2007","00:33:00","0.626","0.386","242.090","3.000","0.000","2.000",0
"23471","2/1/2007","00:34:00","0.624","0.386","241.840","3.000","0.000","1.000",0
"23472","2/1/2007","00:35:00","0.622","0.386","242.090","3.000","0.000","1.000",0
"23473","2/1/2007","00:36:00","0.602","0.358","242.480","2.800","0.000","2.000",0
"23474","2/1/2007","00:37:00","0.554","0.288","242.940","2.600","0.000","1.000",0
"23475","2/1/2007","00:38:00","0.552","0.286","242.850","2.600","0.000","2.000",0
"23476","2/1/2007","00:39:00","0.550","0.282","242.320","2.400","0.000","1.000",0
"23477","2/1/2007","00:40:00","0.548","0.280","242.030","2.400","0.000","1.000",0
"23478","2/1/2007","00:41:00","0.546","0.280","241.870","2.400","0.000","2.000",0
"23479","2/1/2007","00:42:00","0.530","0.254","241.290","2.400","0.000","1.000",0
"23480","2/1/2007","00:43:00","0.450","0.140","241.270","2.000","0.000","2.000",0
"23481","2/1/2007","00:44:00","0.448","0.138","240.700","1.800","0.000","1.000",0
"23482","2/1/2007","00:45:00","0.450","0.142","241.750","2.000","0.000","1.000",0
